,EntityCode,DropInCare,Index,Status,Type,Name,DropInCare_Boolean
0,2,Yes,1,Active,12,Kids Club,TRUE
1,100,Yes,1,Active,12,Kids Club,TRUE
3,103,Yes,1,Active,12,Kids Club,TRUE
4,105,Yes,1,Active,12,Kids Club,TRUE
5,106,Yes,1,Active,12,Kids Club,TRUE
6,107,Yes,1,Active,12,Kids Club,TRUE
7,110,Yes,1,Active,12,Kids Club,TRUE
8,112,Yes,1,Active,12,Kids Club,TRUE
9,114,Yes,1,Active,12,Kids Club,TRUE
11,118,Yes,1,Active,12,Kids Club,TRUE
12,128,Yes,1,Active,12,Kids Club,TRUE
13,131,Yes,1,Active,12,Kids Club,TRUE
17,164,Yes,1,Active,12,Kids Club,TRUE
19,170,Yes,1,Active,12,Kids Club,TRUE
22,192,Yes,1,Active,12,Kids Club,TRUE
27,245,Yes,1,Active,12,Kids Club,TRUE
31,268,Yes,1,Active,12,Kids Club,TRUE
35,375,Yes,1,Active,12,Kids Club,TRUE
36,387,Yes,1,Active,12,Kids Club,TRUE
39,448,Yes,1,Active,12,Kids Club,TRUE
43,514,Yes,1,Active,12,Kids Club,TRUE
44,522,Yes,1,Active,12,Kids Club,TRUE
49,574,Yes,1,Active,12,Kids Club,TRUE
58,678,Yes,1,Active,12,Kids Club,TRUE
60,685,Yes,1,Active,12,Kids Club,TRUE
64,734,Yes,1,Active,12,Kids Club,TRUE
68,764,Yes,1,Active,12,Kids Club,TRUE
70,913,Yes,1,Active,12,Kids Club,TRUE
72,996,Yes,1,Active,12,Kids Club,TRUE
75,1063,Yes,1,Active,12,Kids Club,TRUE
77,1084,Yes,1,Active,12,Kids Club,TRUE
78,1098,Yes,1,Active,12,Kids Club,TRUE
83,1162,Yes,1,Active,12,Kids Club,TRUE
88,1401,Yes,1,Active,12,Kids Club,TRUE
96,1556,Yes,1,Active,12,Kids Club,TRUE
98,1578,Yes,1,Active,12,Kids Club,TRUE
99,1579,Yes,1,Active,12,Kids Club,TRUE
101,1584,Yes,1,Active,12,Kids Club,TRUE
102,1588,Yes,1,Active,12,Kids Club,TRUE
106,1594,Yes,1,Active,12,Kids Club,TRUE
117,2069,Yes,1,Active,12,Kids Club,TRUE
120,2280,Yes,1,Active,12,Kids Club,TRUE
122,2283,Yes,1,Active,12,Kids Club,TRUE
124,2504,Yes,1,Active,12,Kids Club,TRUE
130,2602,Yes,1,Active,12,Kids Club,TRUE
133,2661,Yes,1,Active,12,Kids Club,TRUE
136,2701,Yes,1,Active,12,Kids Club,TRUE
137,2702,Yes,1,Active,12,Kids Club,TRUE
138,2703,Yes,1,Active,12,Kids Club,TRUE
142,2753,Yes,1,Active,12,Kids Club,TRUE
143,2756,Yes,1,Active,12,Kids Club,TRUE
144,2771,Yes,1,Active,12,Kids Club,TRUE
145,2773,Yes,1,Active,12,Kids Club,TRUE
146,2775,Yes,1,Active,12,Kids Club,TRUE
148,2779,Yes,1,Active,12,Kids Club,TRUE
165,2843,Yes,1,Active,12,Kids Club,TRUE
166,2845,Yes,1,Active,12,Kids Club,TRUE
168,2849,Yes,1,Active,12,Kids Club,TRUE
170,2855,Yes,1,Active,12,Kids Club,TRUE
178,2889,Yes,1,Active,12,Kids Club,TRUE
179,2895,Yes,1,Active,12,Kids Club,TRUE
180,2901,Yes,1,Active,12,Kids Club,TRUE
186,3012,Yes,1,Active,12,Kids Club,TRUE
187,3016,Yes,1,Active,12,Kids Club,TRUE
190,3065,Yes,1,Active,12,Kids Club,TRUE
193,3083,Yes,1,Active,12,Kids Club,TRUE
196,3181,Yes,1,Active,12,Kids Club,TRUE
