Survey Column Name,Reltio Attribute,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
HrsOfOpeartion,HrsOfOperation,
Address1,Address.AddressLine1,
Address2,Address.AddressLine2,
City/Town,Address.City,
State/Province,Address.StateProvince,
ZIP/PostalCode,Address.Zip.PostalCode,
Country,Address.Country,
Cardiovascular Equiptment_Boolean,FitnessCenter.Cardiovascular_Equipment,
Strength Equiptment_Boolean,FitnessCenter.Strength_Equipment,
Group Exercise Rooms_Boolean,FitnessCenter.GroupExerciseRooms,
Jogging Track_Boolean,FitnessCenter.JoggingTrack,
CrossFit Training_Boolean,FitnessCenter.CrossFitTraining,
