Survey Column Name,Reltio Attribute ,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
Address 1,Address.AddressLine1,
Address 2,Address.AddressLine2,
City/Town,Address.City,
State/Province,Address.StateProvince,
ZIP/Postal Code,Address.Zip.PostalCode,
Country,Address.Country,
HrsOfOpeartion,HrsOfOperation,
Golf Cart Rental,GolfServices.GolfCartRental,
Walk & Carry Clubs,GolfServices.WalkCarryClubs,
Golf Caddy,GolfServices.GolfCaddy,
Guest Golf Lockers,GolfServices.GuestLockers,
Guest Golf Bag Storage,GolfServices.GuestGolfBagStorage,
Golf Club Rental - Fee,GolfServices.GolfClubRentalFee,
Golf Club Rental - Complimentary World Network Use,GolfServices.GolfClubRentalComplimentaryWorldNetworkUse,
Beverage Cart Service,GolfServices.BeverageCartService,
