,ClubName,EntityCode,AdditionalInformation,Index,Type
5,Braemar Country Club,106,Open for Member & Private Events ,1,DiningRoom
7,Spring Valley Lake ,110,Dining room is utilized one day a week ,1,DiningRoom
10,April Sound Country Club,116,Kitchen closes at 9:00pm,1,DiningRoom
15,Skyline Club / Southfield,157,kitchen closes at 9,1,DiningRoom
16,Capital City Club Montgomery,158,KITCHEN CLOSES AT 9PM BAR CLOSES AT 10PM,1,DiningRoom
19,Hackberry Creek Country Club,170,"Kitchen closes at 9pm, bar open until 10pm",1,DiningRoom
20,Dayton Racquet Club ,183,Kitchen closes at closing times listed,1,DiningRoom
24,Tower Club Fort Lauderdale,198,kitchen closes at 9pm bar open until 10,1,DiningRoom
26,Oakmont CC,238,Bar closes 1 hour after kitchen closes,1,DiningRoom
27,Stonebriar CC,245,Kitchen closes at 9 pm ,1,DiningRoom
28,Monarch Country Club,253,"Hours based on catering, golf, social & member events",1,DiningRoom
29,Desert Falls Country Club,259,Open for big member events and private parties only,1,DiningRoom
36,Woodside Plantation Country Club ,387,Kitchen closes at 9pm,1,DiningRoom
38,La Cima Club,430,Last lunch seating is 1:30pm; Last Dinner Seating is 9:00pm,1,DiningRoom
45,Marina Vallarta Golf Club,541,kitchen close at 5pm,1,DiningRoom
46,The Carolina Club,556,Sunday Brunch (once a month) is held in the Main Dining Room ,1,DiningRoom
51,Northwood County Club,622,Kitchen closes at 5:00pm daily.,1,DiningRoom
52,Commerce Greenville,641,Seat members as late as 9:30PM; Most late diners use the Beattie Bar instead,1,DiningRoom
56,Center Club Orange County,657,Kitchen closes at 8:30 pm,1,DiningRoom
61,University Club atop Symphony Towers,703,"Kitchen closes at 9:45, bar open till 10:00 p.m.",1,DiningRoom
62,The City Club of Washington D.C.,715,Last reservation is at 8:00p.m.,1,DiningRoom
63,Buckhead,730,kitchen closes @ 9,1,DiningRoom
67,City Club Los Angeles,763,Kitchen closes at 9:00 PM last reservation taken at 8:00 PM,1,DiningRoom
70,Silver Lake,913,Kitchen 9:30 p.m.   Bar  11:00 p.m. ,1,DiningRoom
71,Cimarron Country Club,979,Kitchen closes at 9pm,1,DiningRoom
78,Country Club of Hilton head,1098,Kitchen closes at 9pm,1,DiningRoom
80,Haile Plantation Golf & Country Club,1100,"Kitchen closes on Tuesday,Saturday & Sunday at 3:00",1,DiningRoom
81,Stonehenge,1104,same as bar,1,DiningRoom
88,Quail Hollow CC,1430,kitchen closes at 9pm,1,DiningRoom
93,Granite Bay Golf Club,1554,We are closed every day from 2pm-530pm,1,DiningRoom
94,Aspen Glen,1556,Dining room open for special events and upscale dining,1,DiningRoom
95,Vista Vallarta Club de Golf,1564,kitchen close at 5pm,1,DiningRoom
98,Stonebridge Ranch Country Club,1582,Kitchen closes at 8pm ,1,DiningRoom
99,Stonebridge Ranch Country Club - Hills,2283,Kitchen closes at 8pm ,1,DiningRoom
104,Eagles Landing CC,1593,Kitchen closes at 9 no bar,1,DiningRoom
109,Currituck Club,1598,Restaurant closes 4PM bar closes5PM,1,DiningRoom
