,ClubName,EntityCode,Number of Golf Courses,Number of Golf Holes,Number of Tennis Courts,HrsOfOperation,To-Go
0,Las Colinas CC,2,1,18,12,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Sunday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}]}}]",Yes
1,Brookhaven Country Club,100,3,54,38,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""9:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Friday"": [{""value"": true}]}}]}}]",Yes
2,Canyon Creek Country Club,102,1,18,20,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Monday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""8:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Sunday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}]}}]}}]",Yes
3,Countryside Country Club ,103,3,27,18,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""7:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""8:00 AM""}]}}], ""Sunday"": [{""value"": true}], ""Tuesday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""8:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""7:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""10:00 AM""}]}}], ""Monday"": [{""value"": true}]}}]}}]",Yes
4,Canyon Crest CC,105,1,18,6,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""6:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""6:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""6:00 AM""}]}}], ""Sunday"": [{""value"": true}]}}]}}]",Yes
5,Braemar Country Club,106,3,27,20,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""5:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""8:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}]}}]",Yes
6,Porter Valley Country Club,107,1,18,6,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""6:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Monday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}]}}]",Yes
7,Spring Valley Lake ,110,1,18,4,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""8:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""11:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Friday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""5:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Sunday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""8:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Saturday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}]}}]",Yes
8,Kingwood Country Club,112,4,72,26,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""8:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Sunday"": [{""value"": true}]}}]}}]",No
9,Lost creek ,114,1,18,16,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""7:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""11:00 AM""}]}}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""11:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""3:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""11:00 AM""}]}}], ""Tuesday"": [{""value"": true}]}}]}}]",Yes
10,April Sound Country Club,116,3,27,12,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""12:00 AM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""8:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""6:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Sunday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Thursday"": [{""value"": true}]}}]}}]",Yes
11,Shadowridge,118,1,18,0,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""8:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}]}}]",Yes
12,Walnut Creek Country Club,128,2,36,14,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""7:00 AM""}]}}], ""Saturday"": [{""value"": true}], ""Friday"": [{""value"": true}]}}]}}]",Yes
13,Tampa Palms Golf & Country Club,131,1,18,11,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""9:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""11:00 AM""}]}}], ""Wednesday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Thursday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""12:00 AM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""11:00 AM""}]}}], ""Friday"": [{""value"": true}]}}, {""value"": {""Timing"": [{""value"": {""EndTime"": [{""value"": ""6:00 PM""}], ""DayPart"": [{""value"": ""All Day""}], ""StartTime"": [{""value"": ""8:00 AM""}]}}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}]}}]}}]",Yes
