AmenityCrosswalkValue,EntityCode
Survey|20180508|1|00913|DiningRoom|1,00913
Survey|20180508|1|01724|DiningRoom|1,01724
Survey|20180508|1|00979|DiningRoom|1,00979
Survey|20180508|1|00657|DiningRoom|1,00657
Survey|20180508|1|01564|DiningRoom|1,01564
Survey|20180508|1|02851|DiningRoom|1,02851
Survey|20180508|1|01591|DiningRoom|2,01591
Survey|20180508|1|02604|DiningRoom|1,02604
Survey|20180508|1|00682|DiningRoom|1,00682
Survey|20180508|1|00715|DiningRoom|1,00715
Survey|20180508|1|02616|DiningRoom|1,02616
Survey|20180508|1|02847|DiningRoom|1,02847
Survey|20180508|1|02985|DiningRoom|1,02985
Survey|20180508|1|02786|AnytimeLounge|1,02786
Survey|20180508|1|00654|AnytimeLounge|1,00654
Survey|20180508|1|00375|AnytimeLounge|1,00375
Survey|20180508|1|02820|AnytimeLounge|1,02820
Survey|20180508|1|00996|AnytimeLounge|1,00996
Survey|20180508|1|02661|AnytimeLounge|1,02661
Survey|20180508|1|00387|AnytimeLounge|1,00387
Survey|20180508|1|02851|AnytimeLounge|1,02851
Survey|20180508|1|02771|AnytimeLounge|1,02771
Survey|20180508|1|00514|AnytimeLounge|1,00514
Survey|20180508|1|03070|AnytimeLounge|1,03070
Survey|20180508|1|00764|AnytimeLounge|1,00764
Survey|20180508|1|01349|AnytimeLounge|1,01349
Survey|20180508|1|02818|AnytimeLounge|1,02818
Survey|20180508|1|02830|AnytimeLounge|1,02830
Survey|20180508|1|03065|AnytimeLounge|1,03065
Survey|20180508|1|01535|AnytimeLounge|1,01535
Survey|20180508|1|02836|AnytimeLounge|1,02836
Survey|20180508|1|01063|AnytimeLounge|1,01063
Survey|20180508|1|00448|AnytimeLounge|1,00448
Survey|20180508|1|03056|AnytimeLounge|1,03056
Survey|20180508|1|00682|AnytimeLounge|1,00682
Survey|20180508|1|01591|AnytimeLounge|1,01591
Survey|20180508|1|01401|AnytimeLounge|1,01401
Survey|20180508|1|02868|AnytimeLounge|1,02868
Survey|20180508|1|00118|GolfServices|1,00118
Survey|20180508|1|00253|AVEquipment|1,00253
Survey|20180508|1|01578|AVEquipment|1,01578
Survey|20180508|1|01688|AVEquipment|1,01688
Survey|20180508|1|01724|AVEquipment|1,01724
Survey|20180508|1|00734|AVEquipment|1,00734
Survey|20180508|1|00607|AVEquipment|1,00607
Survey|20180508|1|02901|AVEquipment|1,02901
Survey|20180508|1|01401|AVEquipment|1,01401
Survey|20180508|1|02836|AVEquipment|1,02836
Survey|20180508|1|00116|AVEquipment|1,00116
Survey|20180508|1|00238|AVEquipment|1,00238
Survey|20180508|1|01554|AVEquipment|1,01554
Survey|20180508|1|02700|AVEquipment|1,02700
Survey|20180508|1|02756|AVEquipment|1,02756
Survey|20180508|1|00703|AVEquipment|1,00703
Survey|20180508|1|00730|AVEquipment|1,00730
Survey|20180508|1|02868|AVEquipment|1,02868
Survey|20180508|1|02806|AVEquipment|1,02806
Survey|20180508|1|02824|AVEquipment|1,02824
Survey|20180508|1|00430|AVEquipment|1,00430
Survey|20180508|1|01084|SocialEvents|1,01084
Survey|20180508|1|01075|SocialEvents|1,01075
Survey|20180508|1|00685|SocialEvents|1,00685
Survey|20180508|1|01191|SocialEvents|1,01191
Survey|20180508|1|00641|SocialEvents|1,00641
Survey|20180508|1|02069|SocialEvents|1,02069
Survey|20180508|1|00166|SocialEvents|1,00166
Survey|20180508|1|00674|SocialEvents|1,00674
Survey|20180508|1|02816|SocialEvents|1,02816
Survey|20180508|1|01104|SocialEvents|1,01104
Survey|20180508|1|00507|SocialEvents|1,00507
Survey|20180508|1|02748|SocialEvents|1,02748
Survey|20180508|1|02987|SocialEvents|1,02987
Survey|20180508|1|00678|SocialEvents|1,00678
Survey|20180508|1|02777|SocialEvents|1,02777
Survey|20180508|1|01598|SelfParking|1,01598
Survey|20180508|1|02810|SelfParking|1,02810
Survey|20180508|1|02985|SelfParking|1,02985
Survey|20180508|1|02822|SelfParking|1,02822
Survey|20180508|1|00105|SelfParking|1,00105
Survey|20180508|1|02816|SelfParking|1,02816
Survey|20180508|1|02775|SelfParking|1,02775
Survey|20180508|1|02756|SelfParking|1,02756
Survey|20180508|1|00476|SelfParking|1,00476
Survey|20180508|1|02069|SelfParking|1,02069
Survey|20180508|1|02202|SelfParking|1,02202
Survey|20180508|1|02786|SelfParking|1,02786
Survey|20180508|1|02282|SelfParking|1,02282
Survey|20180508|1|02812|SelfParking|1,02812
Survey|20180508|1|03012|SelfParking|1,03012
Survey|20180508|1|00522|SelfParking|1,00522
Survey|20180508|1|01212|SelfParking|1,01212
Survey|20180508|1|01056|SelfParking|1,01056
Survey|20180508|1|02595|ValetParking|1,02595
