Survey Column Name,Reltio Attribute,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
HrsOfOpeartion,HrsOfOperation,
Address1,Address.AddressLine1,
Address2,Address.AddressLine2,
City/Town,Address.City,
State/Province,Address.StateProvince,
ZIP/PostalCode,Address.Zip.PostalCode,
Country,Address.Country,
Outdoor Tennis Courts_Boolean,TennisCourt.OutdoorTennisCourts,
Outdoor Clay Tennis Courts_Boolean,TennisCourt.OutdoorClayTennisCourts,
Lighted Courts_Boolean,TennisCourt.LightedCourts,
Covered Courts_Boolean,TennisCourt.CoveredCourts,
Indoor Tennis Courts_Boolean,TennisCourt.IndoorTennisCourts,
