Survey Column Name,Reltio Attribute,Type
Index,Index,
Status,Status,
Name,EC_Name,
Type,Type,
Special Events_Boolean,SocialEvents.SpecialEvents,
Milestone Events_Boolean,SocialEvents.MilestoneEvents,
University Events_Boolean,SocialEvents.UniversityEvents,
School Banquets_Boolean,SocialEvents.SchoolBanquets,
Graduation Celebrations_Boolean,SocialEvents.GraduationCelebrations,
Birthdays_Boolean,SocialEvents.Birthdays,
Anniversary_Boolean,SocialEvents.Anniversary,
Life Celebration_Boolean,SocialEvents.LifeCelebration,
Baby & Bridal Showers_Boolean,SocialEvents.BabyBridalShowers,
Pool Parties_Boolean,SocialEvents.PoolParties,
Mitzvahs_Boolean,SocialEvents.Mitzvahs,
Catering Services for social events,SocialEvents.CateringServices,
