,ClubName,EntityCode,Address1,Address2,City/Town,State/Province,ZIP/PostalCode,Country,OutdoorTennisCourts,OutdoorClayTennisCourts,LightedCourts,CoveredCourts,IndoorTennisCourts,Index,HrsOfOpeartion,Status,Type,Name
0,Las Colinas CC,2,,,,,,,Outdoor Tennis Courts,,Lighted Courts,,Indoor Tennis Courts,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
1,Brookhaven Country Club,100,3334 Golfing Gree Drive,,Dallas,TX,75234,USA,Outdoor Tennis Courts,Outdoor Clay Tennis Courts,Lighted Courts,Covered Courts,Indoor Tennis Courts,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""same""}], ""EndTime"": [{""value"": ""same""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
2,Canyon Creek Country Club,102,,,,,,,Outdoor Tennis Courts,,Lighted Courts,,Indoor Tennis Courts,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
3,Countryside Country Club ,103,,,,,,,,Outdoor Clay Tennis Courts,,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
4,Canyon Crest CC,105,same,,,,,,Outdoor Tennis Courts,,Lighted Courts,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""06:00 AM""}], ""EndTime"": [{""value"": ""09:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
5,Braemar Country Club,106,,,,,,,Outdoor Tennis Courts,,Lighted Courts,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
6,Porter Valley Country Club,107,,,,,,,Outdoor Tennis Courts,,Lighted Courts,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""06:00 AM""}], ""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
7,Spring Valley Lake ,110,,,,,,,Outdoor Tennis Courts,,Lighted Courts,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""06:00 AM""}], ""EndTime"": [{""value"": ""09:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
8,Kingwood Country Club,112,,,,,,,Outdoor Tennis Courts,,Lighted Courts,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""07:00 AM""}], ""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}, {""value"": {""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""07:00 AM""}], ""EndTime"": [{""value"": ""08:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
9,Lost creek ,114,,,,,,,Outdoor Tennis Courts,,Lighted Courts,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
10,April Sound Country Club,116,,,,,,,Outdoor Tennis Courts,,Lighted Courts,Covered Courts,Indoor Tennis Courts,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""10:00 AM""}], ""EndTime"": [{""value"": ""08:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}, {""value"": {""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""09:00 AM""}], ""EndTime"": [{""value"": ""08:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}, {""value"": {""Thursday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""09:00 AM""}], ""EndTime"": [{""value"": ""09:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}, {""value"": {""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Timing"": [{""value"": {""StartTime"": [{""value"": ""09:00 AM""}], ""EndTime"": [{""value"": ""10:00 PM""}], ""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
11,Shadowridge,118,,,,,,,,,,,,1,"[{""value"": {""Season"": [{""value"": ""All Season""}], ""DayAndTiming"": [{""value"": {""Monday"": [{""value"": true}], ""Tuesday"": [{""value"": true}], ""Wednesday"": [{""value"": true}], ""Thursday"": [{""value"": true}], ""Friday"": [{""value"": true}], ""Saturday"": [{""value"": true}], ""Sunday"": [{""value"": true}], ""Timing"": [{""value"": {""DayPart"": [{""value"": ""All Day""}]}}]}}]}}]",Active,Tennis & Racquet Sports,Tennis Courts
